x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-0.97081	4.5652
-0.99167	10.125	-0.87019	4.8604
-0.99167	10.458	0.0020259	4.7336
-0.99167	10.792	0.62783	4.577
-0.99167	11.125	0.56127	4.48
-0.99167	11.458	0.50262	4.3829
-0.99167	11.792	0.35728	4.8704
-0.99167	12.125	0.55827	5.0956
-0.99167	12.458	0.47421	4.9382
-0.99167	12.792	0.40358	4.5811
-0.99167	13.125	0.21107	4.7358
-0.99167	13.458	-0.21887	5.1396
-0.99167	13.792	-0.55037	5.2755
-0.99167	14.125	-0.91547	5.4671
-0.99167	14.458	-1.2425	5.4657
-0.99167	14.792	-1.1037	5.3231
-0.99167	15.125	-0.85263	5.1383
-0.99167	15.458	-0.46406	4.9831
-0.99167	15.792	-0.37965	4.8009
-0.99167	16.125	-0.18433	4.6641
-0.99167	16.458	-0.032274	4.7545
-0.99167	16.792	0.22108	4.8013
-0.99167	17.125	0.26863	4.9569
-0.99167	17.458	0.26022	4.9537
-0.99167	17.792	0.28547	5.0489
-0.99167	18.125	0.16381	5.3492
-0.99167	18.458	-0.046719	5.529
-0.99167	18.792	-0.34188	5.9167
-0.99167	19.125	-0.74355	6.1627
-0.99167	19.458	-0.95316	6.1344
-0.99167	19.792	-1.0683	6.2086
-0.99167	20.125	-0.94309	6.4555
-0.99167	20.458	-1.2618	6.6464
-0.99167	20.792	-1.3943	6.7944
-0.99167	21.125	-1.3286	6.723
-0.99167	21.458	-1.0524	6.474
-0.99167	21.792	-0.75946	6.2109
-0.99167	22.125	-0.57236	5.9837
-0.99167	22.458	-0.11484	5.6914
-0.99167	22.792	0.19483	5.2804
-0.99167	23.125	0.35961	4.8285
-0.99167	23.458	0.58229	4.5474
-0.99167	23.792	0.53197	4.3025
-0.99167	24.125	0.19114	4.3738
-0.99167	24.458	-0.13159	4.4665
-0.99167	24.792	-0.35738	4.5188
-0.99167	25.125	-0.72847	4.571
-0.99167	25.458	-1.4399	4.7025
-0.99167	25.792	-1.9766	4.9314
-0.99167	26.125	-2.2364	5.0673
-0.99167	26.458	-2.3893	5.1014
-0.99167	26.792	-2.3285	5.2035
-0.99167	27.125	-2.2668	5.0639
-0.99167	27.458	-2.1945	4.7562
-0.99167	27.792	-2.1767	4.4074
-0.99167	28.125	-2.0388	3.8413
-0.99167	28.458	-1.6381	3.2477
-0.99167	28.792	-1.3288	2.3162
-0.99167	29.125	-1.0588	0.85219
-0.99167	29.458	-0.4183	-0.27432
-0.65833	9.7917	-0.9357	6.0691
-0.65833	10.125	-0.97298	6.0633
-0.65833	10.458	-0.37786	5.4547
-0.65833	10.792	0.0067929	5.2601
-0.65833	11.125	0.085391	5.2626
-0.65833	11.458	0.25234	5.2485
-0.65833	11.792	0.31767	5.7847
-0.65833	12.125	0.41462	6.0843
-0.65833	12.458	0.26888	6.0677
