x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-0.0080418	3.2613
-0.99167	10.125	-0.24439	2.85
-0.99167	10.458	0.27628	1.9422
-0.99167	10.792	0.19593	2.1247
-0.99167	11.125	-0.2262	3.294
-0.99167	11.458	-0.10853	3.6475
-0.99167	11.792	0.055338	3.1179
-0.99167	12.125	0.27113	2.9493
-0.99167	12.458	-0.1232	3.0476
-0.99167	12.792	-0.37642	3.1209
-0.99167	13.125	-0.31474	3.1678
-0.99167	13.458	-0.43003	2.9778
-0.99167	13.792	-0.37496	3.2361
-0.99167	14.125	-0.3166	3.2414
-0.99167	14.458	-0.011489	3.1931
-0.99167	14.792	0.31397	3.364
-0.99167	15.125	0.61006	3.655
-0.99167	15.458	0.83716	4.0162
-0.99167	15.792	0.82866	4.3891
-0.99167	16.125	0.69974	4.9011
-0.99167	16.458	0.45825	5.623
-0.99167	16.792	0.1698	6.23
-0.99167	17.125	-0.18123	6.8776
-0.99167	17.458	-0.37894	7.1837
-0.99167	17.792	-0.54708	7.2539
-0.99167	18.125	-1.031	7.1894
-0.99167	18.458	-1.5259	7.3092
-0.99167	18.792	-1.7764	7.077
-0.99167	19.125	-1.7093	6.6722
-0.99167	19.458	-1.6265	6.2675
-0.99167	19.792	-1.294	6.2048
-0.99167	20.125	-1.0038	6.0874
-0.99167	20.458	-0.92891	5.877
-0.99167	20.792	-0.96443	5.47
-0.99167	21.125	-0.92205	5.12
-0.99167	21.458	-0.94525	4.8817
-0.99167	21.792	-0.99262	5.0885
-0.99167	22.125	-0.80304	5.0544
-0.99167	22.458	-0.46022	4.8953
-0.99167	22.792	-0.4275	4.7744
-0.99167	23.125	-0.61091	4.5812
-0.99167	23.458	-0.7901	4.5539
-0.99167	23.792	-0.93675	4.5039
-0.99167	24.125	-1.3084	4.5949
-0.99167	24.458	-1.3917	4.6116
-0.99167	24.792	-1.2702	4.5969
-0.99167	25.125	-1.3422	4.7316
-0.99167	25.458	-1.4921	4.881
-0.99167	25.792	-1.4828	5.0776
-0.99167	26.125	-1.2613	5.4589
-0.99167	26.458	-1.0282	5.7148
-0.99167	26.792	-0.70926	5.3371
-0.99167	27.125	-0.34743	4.7334
-0.99167	27.458	-0.1354	3.9607
-0.99167	27.792	-0.097482	2.87
-0.99167	28.125	-0.34962	1.7385
-0.99167	28.458	-0.6315	1.297
-0.99167	28.792	-0.89275	1.4533
-0.99167	29.125	-1.2588	0.89717
-0.99167	29.458	-1.0413	-0.17309
-0.65833	9.7917	-0.80437	5.1349
-0.65833	10.125	-0.67915	4.9417
-0.65833	10.458	-0.34717	4.3169
-0.65833	10.792	0.2439	4.2362
-0.65833	11.125	0.25627	4.979
-0.65833	11.458	0.39669	4.9541
-0.65833	11.792	0.36989	4.484
-0.65833	12.125	0.20124	4.3994
-0.65833	12.458	-0.17112	4.7756
-0.65833	12.792	-0.20501	4.6574
-0.65833	13.125	-0.19509	4.3368
-0.65833	13.458	-0.34528	4.0665
-0.65833	13.792	-0.41683	4.2252
-0.65833	14.125	-0.39297	4.228
-0.65833	14.458	-0.15345	4.2516
-0.65833	14.792	0.036003	4.3455
-0.65833	15.125	0.32715	4.6023
-0.65833	15.458	0.35289	4.9317
-0.65833	15.792	0.24463	5.2844
-0.65833	16.125	0.11244	5.8386
-0.65833	16.458	-0.044224	6.4439
-0.65833	16.792	-0.20536	7.0276
-0.65833	17.125	-0.4711	7.5981
-0.65833	17.458	-0.56922	8.0601
-0.65833	17.792	-0.68153	8.0816
-0.65833	18.125	-1.1339	8.007
