x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-0.68884	0.79249
-0.99167	10.125	-0.20367	2.9744
-0.99167	10.458	0.72463	4.1949
-0.99167	10.792	1.0664	4.3249
-0.99167	11.125	0.091177	3.4854
-0.99167	11.458	0.68402	3.5605
-0.99167	11.792	0.86731	3.2963
-0.99167	12.125	1.1608	3.6825
-0.99167	12.458	1.4815	4.204
-0.99167	12.792	1.4707	5.1381
-0.99167	13.125	1.2524	5.59
-0.99167	13.458	0.61374	5.6603
-0.99167	13.792	-0.06533	5.3368
-0.99167	14.125	-0.89883	5.5153
-0.99167	14.458	-1.1596	5.4594
-0.99167	14.792	-1.3833	5.429
-0.99167	15.125	-1.4508	5.1511
-0.99167	15.458	-1.3142	4.9724
-0.99167	15.792	-1.2355	4.9386
-0.99167	16.125	-1.0269	4.9447
-0.99167	16.458	-0.80203	4.8848
-0.99167	16.792	-0.33943	4.5821
-0.99167	17.125	0.12352	4.278
-0.99167	17.458	0.76224	3.777
-0.99167	17.792	1.1026	3.4314
-0.99167	18.125	1.1666	3.179
-0.99167	18.458	1.3181	3.1598
-0.99167	18.792	1.3457	3.0824
-0.99167	19.125	1.3245	3.1316
-0.99167	19.458	1.3003	3.0989
-0.99167	19.792	0.97734	3.293
-0.99167	20.125	0.73339	3.6034
-0.99167	20.458	0.15263	4.094
-0.99167	20.792	-0.44334	4.672
-0.99167	21.125	-0.76575	5.0277
-0.99167	21.458	-1.0576	5.1581
-0.99167	21.792	-1.0943	5.4584
-0.99167	22.125	-1.309	5.6574
-0.99167	22.458	-1.271	5.6332
-0.99167	22.792	-1.3008	5.5472
-0.99167	23.125	-1.0631	5.122
-0.99167	23.458	-0.52479	4.8861
-0.99167	23.792	-0.015331	4.4961
-0.99167	24.125	0.18852	4.243
-0.99167	24.458	0.34906	3.6506
-0.99167	24.792	0.35434	3.1489
-0.99167	25.125	0.017478	2.7142
-0.99167	25.458	-0.47919	2.0248
-0.99167	25.792	-0.63248	1.4461
-0.99167	26.125	-0.60215	1.4279
-0.99167	26.458	-0.57129	1.4952
-0.99167	26.792	-0.24222	1.3894
-0.99167	27.125	-0.21078	0.98801
-0.99167	27.458	-0.45009	0.56808
-0.99167	27.792	-0.81137	0.33077
-0.99167	28.125	-1.1992	0.26909
-0.99167	28.458	-1.2321	0.1041
-0.99167	28.792	-1.2842	0.081242
-0.99167	29.125	-1.1349	-0.38009
-0.99167	29.458	-0.3957	-0.54343
-0.65833	9.7917	-0.0096496	1.3149
-0.65833	10.125	0.60866	3.5889
-0.65833	10.458	1.0051	5.2943
-0.65833	10.792	0.82448	5.9256
-0.65833	11.125	-0.070538	4.9535
-0.65833	11.458	0.42254	3.9155
-0.65833	11.792	0.78179	3.4612
-0.65833	12.125	0.74271	4.4487
-0.65833	12.458	0.9661	5.3359
-0.65833	12.792	1.1597	6.1788
-0.65833	13.125	1.1708	6.6589
-0.65833	13.458	0.6	6.6425
-0.65833	13.792	-0.11463	6.3273
-0.65833	14.125	-0.67019	6.2559
-0.65833	14.458	-0.98842	6.3364
-0.65833	14.792	-1.1353	6.5223
-0.65833	15.125	-1.1499	6.2648
-0.65833	15.458	-1.1127	5.8763
-0.65833	15.792	-1.0849	5.6548
-0.65833	16.125	-0.90448	5.5592
-0.65833	16.458	-0.64544	5.4827
