x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-0.65664	1.0022
-0.99167	10.125	0.53249	2.5378
-0.99167	10.458	1.6032	4.2069
-0.99167	10.792	1.5222	4.9673
-0.99167	11.125	1.4061	3.7204
-0.99167	11.458	0.7967	3.4806
-0.99167	11.792	0.089837	4.0361
-0.99167	12.125	-0.61639	4.8797
-0.99167	12.458	-0.82707	4.9357
-0.99167	12.792	-0.94825	4.749
-0.99167	13.125	-0.97893	4.5868
-0.99167	13.458	-1.1128	4.8042
-0.99167	13.792	-0.94368	4.9063
-0.99167	14.125	-0.83227	4.9286
-0.99167	14.458	-0.60182	5.0717
-0.99167	14.792	-0.18595	5.1435
-0.99167	15.125	0.24558	4.8733
-0.99167	15.458	0.68563	4.4944
-0.99167	15.792	0.89429	4.2602
-0.99167	16.125	0.84385	4.2009
-0.99167	16.458	0.89816	4.1641
-0.99167	16.792	0.93291	4.0746
-0.99167	17.125	0.88383	4.1867
-0.99167	17.458	0.89278	4.1539
-0.99167	17.792	0.8361	4.0124
-0.99167	18.125	0.70825	4.2493
-0.99167	18.458	0.68916	4.4303
-0.99167	18.792	0.37664	4.7293
-0.99167	19.125	0.1248	4.9909
-0.99167	19.458	-0.23528	5.3462
-0.99167	19.792	-0.39882	5.616
-0.99167	20.125	-0.28331	5.7751
-0.99167	20.458	-0.43282	5.7233
-0.99167	20.792	-0.57997	5.8058
-0.99167	21.125	-0.81463	5.9407
-0.99167	21.458	-1.1561	6.1566
-0.99167	21.792	-1.5251	6.2863
-0.99167	22.125	-1.6866	6.1404
-0.99167	22.458	-1.6925	5.7112
-0.99167	22.792	-1.7587	5.4717
-0.99167	23.125	-1.9234	5.2483
-0.99167	23.458	-1.907	4.8893
-0.99167	23.792	-1.7676	4.583
-0.99167	24.125	-1.5899	4.2009
-0.99167	24.458	-1.3023	3.9136
-0.99167	24.792	-1.0917	3.6896
-0.99167	25.125	-1.2163	3.6792
-0.99167	25.458	-1.4886	3.718
-0.99167	25.792	-1.7632	3.653
-0.99167	26.125	-1.9567	3.6983
-0.99167	26.458	-2.1485	3.655
-0.99167	26.792	-2.2232	3.4748
-0.99167	27.125	-2.1803	3.1929
-0.99167	27.458	-2.1061	2.5867
-0.99167	27.792	-2.1757	1.9361
-0.99167	28.125	-2.2829	1.7766
-0.99167	28.458	-2.3364	1.9133
-0.99167	28.792	-2.0874	1.7711
-0.99167	29.125	-1.6093	0.75573
-0.99167	29.458	-0.75386	-0.32652
-0.65833	9.7917	-0.32934	2.8074
-0.65833	10.125	0.69214	3.9306
-0.65833	10.458	1.7252	5.6761
-0.65833	10.792	1.5802	5.8221
-0.65833	11.125	1.3864	4.1023
-0.65833	11.458	0.75355	3.4697
-0.65833	11.792	0.01928	4.4105
-0.65833	12.125	-0.57783	5.6694
-0.65833	12.458	-0.80595	5.7829
-0.65833	12.792	-0.76465	5.4425
-0.65833	13.125	-0.68934	5.2748
-0.65833	13.458	-0.91955	5.4415
-0.65833	13.792	-0.83243	5.4941
-0.65833	14.125	-0.64832	5.4561
-0.65833	14.458	-0.38645	5.5477
-0.65833	14.792	-0.049655	5.6866
-0.65833	15.125	0.33835	5.5157
-0.65833	15.458	0.80192	5.3075
-0.65833	15.792	0.93049	5.1454
-0.65833	16.125	1.0075	5.1526
-0.65833	16.458	1.0848	5.1992
-0.65833	16.792	0.97216	5.1819
-0.65833	17.125	0.7601	5.3135
-0.65833	17.458	0.71946	5.3713
-0.65833	17.792	0.69406	5.2667
-0.65833	18.125	0.46163	5.3294
-0.65833	18.458	0.28467	5.6214
-0.65833	18.792	0.081469	5.9086
-0.65833	19.125	-0.087723	6.0254
-0.65833	19.458	-0.3537	6.3481
-0.65833	19.792	-0.44598	6.7075
-0.65833	20.125	-0.23495	6.8171
-0.65833	20.458	-0.52408	6.7064
-0.65833	20.792	-0.73766	6.6152
-0.65833	21.125	-0.81725	6.5235
-0.65833	21.458	-1.0615	6.5803
-0.65833	21.792	-1.3839	6.6894
-0.65833	22.125	-1.4852	6.572
-0.65833	22.458	-1.4935	6.1054
-0.65833	22.792	-1.5914	5.7322
-0.65833	23.125	-1.6377	5.2662
-0.65833	23.458	-1.6206	4.8431
-0.65833	23.792	-1.5612	4.5355
-0.65833	24.125	-1.3658	4.1599
-0.65833	24.458	-1.1169	3.8062
-0.65833	24.792	-0.93339	3.6324
-0.65833	25.125	-1.0465	3.5602
-0.65833	25.458	-1.3974	3.5811
-0.65833	25.792	-1.7097	3.5803
-0.65833	26.125	-1.9264	3.624
-0.65833	26.458	-2.001	3.5202
-0.65833	26.792	-2.0364	3.3031
-0.65833	27.125	-1.9493	2.9539
-0.65833	27.458	-1.9822	2.3451
-0.65833	27.792	-1.9848	1.7857
-0.65833	28.125	-1.9429	1.6579
-0.65833	28.458	-1.9685	2.1207
-0.65833	28.792	-1.851	2.1723
-0.65833	29.125	-1.3559	1.3423
-0.65833	29.458	-0.60899	-0.12454
-0.325	9.7917	0.097628	4.0594
-0.325	10.125	0.69076	5.3105
-0.325	10.458	1.1113	6.4839
-0.325	10.792	1.1304	6.0901
-0.325	11.125	0.67118	4.1121
-0.325	11.458	0.40908	3.2561
-0.325	11.792	0.0064026	4.5597
-0.325	12.125	-0.40752	5.8303
-0.325	12.458	-0.62165	6.1293
-0.325	12.792	-0.57688	5.9692
-0.325	13.125	-0.49701	5.748
-0.325	13.458	-0.65458	5.5215
-0.325	13.792	-0.6307	5.5636
-0.325	14.125	-0.44031	5.6542
-0.325	14.458	-0.16914	5.7647
-0.325	14.792	0.10916	5.9778
-0.325	15.125	0.48532	5.9009
-0.325	15.458	0.86138	5.9133
-0.325	15.792	0.92961	5.9598
-0.325	16.125	0.98344	6.075
-0.325	16.458	1.0154	6.2143
-0.325	16.792	0.84552	6.2149
-0.325	17.125	0.6251	6.4208
-0.325	17.458	0.56339	6.4989
-0.325	17.792	0.4734	6.355
-0.325	18.125	0.16313	6.3449
-0.325	18.458	-0.0073138	6.5628
-0.325	18.792	-0.11594	6.8041
-0.325	19.125	-0.28286	7.0433
-0.325	19.458	-0.56377	7.2454
-0.325	19.792	-0.52999	7.4175
-0.325	20.125	-0.246	7.3782
-0.325	20.458	-0.45659	7.1597
