x[mm]	y[mm]	U[m/s]	V[m/s]	
-0.99167	9.7917	-1.3111	1.7872
-0.99167	10.125	-0.88906	3.0719
-0.99167	10.458	-0.26268	2.7749
-0.99167	10.792	0.15336	1.9555
-0.99167	11.125	0.15584	1.5271
-0.99167	11.458	0.22709	1.4841
-0.99167	11.792	0.74589	1.5403
-0.99167	12.125	0.98919	2.6617
-0.99167	12.458	1.1138	3.2143
-0.99167	12.792	1.181	3.9419
-0.99167	13.125	0.96876	4.3411
-0.99167	13.458	0.45837	4.7849
-0.99167	13.792	0.0024859	5.0633
-0.99167	14.125	-0.28611	5.359
-0.99167	14.458	-0.29463	5.5383
-0.99167	14.792	-0.33619	5.7382
-0.99167	15.125	-0.2454	5.7535
-0.99167	15.458	-0.063173	5.8086
-0.99167	15.792	-0.22532	6.0288
-0.99167	16.125	-0.30969	6.2206
-0.99167	16.458	-0.16283	6.2059
-0.99167	16.792	-0.020369	6.3977
-0.99167	17.125	0.0084465	6.3641
-0.99167	17.458	-0.18172	6.1874
-0.99167	17.792	-0.14603	6.2645
-0.99167	18.125	-0.37656	6.0991
-0.99167	18.458	-0.74792	6.074
-0.99167	18.792	-0.76693	5.7188
-0.99167	19.125	-0.68076	5.2954
-0.99167	19.458	-0.42188	4.9332
-0.99167	19.792	-0.09395	4.4487
-0.99167	20.125	0.28132	3.911
-0.99167	20.458	0.33709	3.3883
-0.99167	20.792	0.16019	3.1265
-0.99167	21.125	0.22009	3.1125
-0.99167	21.458	0.24244	3.1195
-0.99167	21.792	0.21482	3.1489
-0.99167	22.125	0.36204	2.9669
-0.99167	22.458	0.63509	2.9634
-0.99167	22.792	1.0237	2.8432
-0.99167	23.125	1.1884	2.9275
-0.99167	23.458	1.3723	3.2345
-0.99167	23.792	1.5162	3.4891
-0.99167	24.125	1.5146	3.5293
-0.99167	24.458	1.3608	3.5625
-0.99167	24.792	1.2739	3.6612
-0.99167	25.125	0.90711	3.8267
-0.99167	25.458	0.42629	4.0296
-0.99167	25.792	0.034726	4.2135
-0.99167	26.125	-0.31419	4.1942
-0.99167	26.458	-0.4811	4.0955
-0.99167	26.792	-0.6279	4.0549
-0.99167	27.125	-0.8099	4.0847
-0.99167	27.458	-0.93383	3.9614
-0.99167	27.792	-1.0465	3.692
-0.99167	28.125	-1.2133	3.1884
-0.99167	28.458	-1.3072	2.4964
-0.99167	28.792	-1.3882	1.6163
-0.99167	29.125	-1.1096	0.80858
-0.99167	29.458	-0.4633	-0.29202
-0.65833	9.7917	-0.034194	3.1209
-0.65833	10.125	-0.17984	4.5005
-0.65833	10.458	-0.40084	4.4016
-0.65833	10.792	-0.47016	3.5093
-0.65833	11.125	-0.25259	2.4087
-0.65833	11.458	0.19443	1.971
-0.65833	11.792	0.67048	2.3427
-0.65833	12.125	0.91089	3.9227
-0.65833	12.458	0.9576	4.8359
-0.65833	12.792	1.1328	5.4181
-0.65833	13.125	0.96017	5.8724
-0.65833	13.458	0.36556	6.1858
-0.65833	13.792	-0.025705	6.4193
-0.65833	14.125	-0.29757	6.6341
-0.65833	14.458	-0.39156	6.5118
-0.65833	14.792	-0.43902	6.5534
-0.65833	15.125	-0.24019	6.4718
-0.65833	15.458	-0.16819	6.5165
-0.65833	15.792	-0.31909	6.7486
-0.65833	16.125	-0.41227	6.8871
-0.65833	16.458	-0.28072	6.9229
-0.65833	16.792	-0.11607	6.7921
-0.65833	17.125	-0.022328	6.6067
-0.65833	17.458	0.12543	6.3333
-0.65833	17.792	0.1915	6.4406
-0.65833	18.125	0.024702	6.3624
-0.65833	18.458	-0.27981	6.2786
-0.65833	18.792	-0.35582	5.9823
-0.65833	19.125	-0.2393	5.5869
-0.65833	19.458	-0.064635	5.3397
-0.65833	19.792	0.17237	4.8729
-0.65833	20.125	0.45672	4.363
-0.65833	20.458	0.53078	3.9435
-0.65833	20.792	0.34579	3.6673
-0.65833	21.125	0.31321	3.635
